"ID";"Name";"global_id";"IsNetObject";"OperatingCompany";"TypeObject";"AdmArea";"District";"Address";"PublicPhone";"SeatsCount";"SocialPrivileges";"Longitude_WGS84";"Latitude_WGS84";"geoData";"geodata_center";
"Код";"Наименование";"global_id";"Является сетевым";"Название управляющей компании";"Вид объекта";"Административный округ по адресу";"Район";"Адрес";"Контактный телефон";"Число посадочных мест";"Показатель социальных льгот";"Долгота в WGS-84";"Широта в WGS-84";"geoData";"geodata_center";
"000025098";"Costa Coffee";"1075022998";"да";"Costa coffee";"кафе";"Центральный административный округ";"Тверской район";"город Москва, площадь Тверская Застава, дом 7, строение 1";"nested data";"38";"нет";"37.5815924562222250";"55.7764637735733970";"{coordinates=[37.581592456, 55.776463774], type=Point}";"{coordinates=[37.581592456, 55.776463774], type=Point}";
"00288356";"Папа Джонс";"1075023015";"да";"Папа Джонс";"предприятие быстрого обслуживания";"Троицкий административный округ";"район Троицк";"Российская Федерация, город Москва, город Троицк, микрорайон ""В"", дом 37А";"nested data";"5";"нет";"37.3070749999999980";"55.4865396801148020";"{coordinates=[37.307075, 55.48653968], type=Point}";"{coordinates=[37.307075, 55.48653968], type=Point}";
"00286611";"Урюк";"1075023026";"да";"Урюк";"ресторан";"Западный административный округ";"район Очаково-Матвеевское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Аминьевское шоссе, дом 6";"nested data";"110";"нет";"37.4572779999999950";"55.7065177430775760";"{coordinates=[37.457278, 55.706517743], type=Point}";"{coordinates=[37.457278, 55.706517743], type=Point}";
"00286760";"Суши Сет";"1075023028";"да";"Суши Сет";"предприятие быстрого обслуживания";"Восточный административный округ";"район Соколиная Гора";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, проспект Будённого, дом 51, корпус 5";"nested data";"12";"нет";"37.7388739999999960";"55.7593347583807670";"{coordinates=[37.738874, 55.759334758], type=Point}";"{coordinates=[37.738874, 55.759334758], type=Point}";
"00286064";"PRIME";"1075023040";"нет";"";"кафе";"Центральный административный округ";"Тверской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Новослободская улица, дом 31, строение 1";"nested data";"10";"нет";"37.5978169999999990";"55.7819327649502550";"{coordinates=[37.597817, 55.781932765], type=Point}";"{coordinates=[37.597817, 55.781932765], type=Point}";
"00286500";"Прайм-кафе";"1075023041";"да";"Прайм-кафе";"кафе";"Центральный административный округ";"район Хамовники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Большой Саввинский переулок, дом 11";"nested data";"20";"нет";"37.5678130000000080";"55.7341667510796480";"{coordinates=[37.567813, 55.734166751], type=Point}";"{coordinates=[37.567813, 55.734166751], type=Point}";
"00286396";"Прайм стар";"1075023042";"да";"Прайм стар";"кафе";"Северный административный округ";"район Беговой";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Беговой, Ленинградский проспект, дом 31А, строение 1";"nested data";"44";"нет";"37.5602269999999830";"55.7836657654545930";"{coordinates=[37.560227, 55.783665765], type=Point}";"{coordinates=[37.560227, 55.783665765], type=Point}";
"00286707";"Прайм стар";"1075023043";"да";"Прайм стар";"кафе";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Мясницкая улица, дом 32, строение 1";"nested data";"40";"нет";"37.6391130000000020";"55.7656267602086050";"{coordinates=[37.639113, 55.76562676], type=Point}";"{coordinates=[37.639113, 55.76562676], type=Point}";
"00284241";"Бургер Кинг";"1075023050";"да";"Бургер Кинг";"предприятие быстрого обслуживания";"Северо-Восточный административный округ";"район Отрадное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, улица Декабристов, дом 12";"nested data";"0";"нет";"37.6022509999999950";"55.8634537887585050";"{coordinates=[37.602251, 55.863453789], type=Point}";"{coordinates=[37.602251, 55.863453789], type=Point}";
"00288292";"Бургер Кинг";"1075023051";"да";"Бургер Кинг";"предприятие быстрого обслуживания";"Центральный административный округ";"Тверской район";"город Москва, площадь Тверская Застава, дом 7, строение 1";"nested data";"26";"нет";"37.5814189999999750";"55.7768897634830620";"{coordinates=[37.581419, 55.776889763], type=Point}";"{coordinates=[37.581419, 55.776889763], type=Point}";
"00287186";"Крошка Картошка";"1075023071";"да";"Крошка Картошка";"кафе";"Новомосковский административный округ";"район Щербинка";"город Москва, поселение Воскресенское, Чечёрский проезд, дом 51";"nested data";"0";"нет";"37.5180420000000010";"55.5238966907191980";"{coordinates=[37.518042, 55.523896691], type=Point}";"{coordinates=[37.518042, 55.523896691], type=Point}";
